posisi,deskripsi,level
full stack developer,"['UI/UX Design', 'Python', 'React', 'Flask', 'Rust', 'Talend', 'InVision']",senior
wordpress developer,"['MySQL', 'JavaScript', 'jQuery', 'PHP']",middle
full stack developer,"['Node.js', 'Angular', 'Technical Support', 'Classification', 'JavaScript', 'React', 'Agile', 'Java', 'Java EE', 'InVision']",senior
flutter developer,"['Android Studio', 'UI/UX Design', 'Android', 'Flutter', 'Dart', 'API', 'iOS', 'Problem Solving']",entry
django developer,"['Communication', 'Unit Testing', 'React', 'Angular', 'Python', 'Django', 'Agile', 'REST API', 'SDLC', 'JavaScript']",entry
network engineer,"['Technical Support', 'Problem Solving', 'Teamwork', 'Firewall', 'Juniper', 'Backup & Recovery', 'Linux', 'Cisco', 'Unix', 'DHCP', 'OSPF', 'MPLS', 'ITIL', 'DNS', 'VPN', 'BGP']",senior
wordpress developer,"['JavaScript', 'jQuery', 'HTML', 'CSS']",middle
full stack developer,"['JavaScript', 'jQuery', 'Spring', 'Java', 'HTML', 'Web Service', 'InVision']",senior
full stack developer,"['Machine Learning', 'Problem Solving', 'JavaScript', 'Python', 'GitHub', 'Java', 'Ruby', 'HTML', 'C++', 'Git', 'R', 'InVision']",senior
ios developer,"['iOS', 'Objective-C', 'Web Service', 'Swift', 'SQL', 'R']",senior
flutter developer,"['JavaScript', 'Android', 'Flutter', 'Kotlin', 'Swift', 'HTML', '.NET', 'PHP', 'API', 'iOS']",entry
javascript developer,"['Angular', 'Machine Learning', 'CI/CD', 'Scikit-learn', 'JavaScript', 'TensorFlow', 'Kubernetes', 'UI/UX Design', 'PyTorch', 'Jenkins', 'Spring', 'Docker', 'React', 'Keras', 'Cisco', 'Java', 'gRPC', 'REST API', 'Artificial Intelligence', 'Microservices']",senior
node js developer,"['Node.js', 'Vue.js', 'Express.js', 'NestJS', 'PostgreSQL', 'Project Management', 'Automated Testing', 'JavaScript', 'TypeScript', 'REST API', 'Git', 'R']",senior
django developer,"['Python', 'Django']",senior
php developer,"['MySQL', 'JavaScript', 'Laravel', 'PHP', 'Git']",entry
software engineer,"['.NET', 'MySQL', 'SQL Server', 'GCP', 'JavaScript', 'Kubernetes', 'Oracle DB', 'Docker', 'HTML', 'Excel', 'Azure', 'Mocha', 'Agile', 'CSS', 'SQL', 'Git', 'SVN', 'C#']",senior
node js developer,"['Node.js', 'JavaScript', 'Express.js', 'jQuery', 'Git']",senior
software engineer,"['Data Pipeline', 'CI/CD', 'Troubleshooting', 'Web Service', 'Kubernetes', 'Teamwork', 'REST API', 'Jenkins', 'Python', 'Docker', 'GitHub', 'Redis', 'Kafka', 'Linux', 'Java', 'API', 'AWS', 'GCP', 'R']",senior
backend developer,"['Node.js', 'Express.js', 'MySQL', 'PHP']",entry
javascript developer,"['UI/UX Design', 'Integration Testing', 'Problem Solving', 'JavaScript', 'TypeScript', 'DevOps', 'React', 'Agile', 'Java', 'Classification']",senior
wordpress developer,"['JavaScript', 'HTML', 'CSS', 'PHP', 'R', 'jQuery']",entry
java developer,"['CI/CD', 'Agile', 'Spring', 'Linux', 'Java', 'API', 'Git', 'R', 'Objective-C']",unspecified
wordpress developer,"['JavaScript', 'REST API', 'jQuery', 'HTML', 'CSS', 'PHP', 'Git', 'SVN', 'Wireframing']",entry
php developer,"['Node.js', 'MySQL', 'UI/UX Design', 'CodeIgniter', 'JavaScript', 'Laravel', 'Symfony', 'Storage Management', 'HTML', 'Linux', 'Agile', 'Scrum', 'CSS', 'SASS', 'LESS', 'PHP', 'SQL', 'AWS', 'Git', 'Google Workspace', 'R', 'jQuery']",senior
backend developer,"['Microservices', 'Unit Testing', 'Prototyping', 'Bootstrap', 'Reporting', 'Angular', 'jQuery', 'Spring', 'Java', 'HTML', 'CSS', 'Active Directory', 'Web Service']",senior
php developer,"['Troubleshooting', 'JavaScript', 'jQuery', 'HTML', 'CSS', 'PHP', 'Git', 'SVN', 'R']",entry
full stack developer,"['Communication', 'Critical Thinking', 'Problem Solving', 'Troubleshooting', 'JavaScript', 'Go', 'Hadoop', 'HTML', 'React', 'Apache Spark', 'Agile', 'CSS', 'AWS', 'R']",middle
javascript developer,"['UI/UX Design', 'Problem Solving', 'JavaScript', 'Angular', 'React', 'HTML', 'REST API', 'CSS', 'Vue.js', 'Git', 'Business Intelligence', 'Wireframing']",entry
java developer,"['React Native', 'Android', 'Python', 'Docker', 'DevOps', 'GitHub', 'React', 'Agile', 'AWS', 'Machine Learning', 'Artificial Intelligence', 'InVision']",senior
software engineer,"['TCP/IP', 'Technical Support', 'Problem Solving', 'Virtualization', 'C', 'Cybersecurity', 'Firewall', 'Agile', 'R', 'Troubleshooting']",senior
django developer,"['MySQL', 'JavaScript', 'AWS', 'Bootstrap', 'Python', 'jQuery', 'Django', 'HTML', 'CSS', 'Git', 'PostgreSQL']",entry
django developer,"['Python', 'Django', 'Flask']",senior
node js developer,"['Node.js', 'Unit Testing', 'JavaScript', 'Webpack', 'React', 'Mocha', 'Agile', 'HTML', 'LESS', 'SDLC', 'CSS', 'Git']",senior
backend developer,"['CI/CD', 'JavaScript', 'Bootstrap', 'Firestore', 'Firebase', 'Adobe XD', 'Angular', 'Android', 'Flutter', 'Java', 'REST API', 'iOS', 'Git', 'jQuery', 'Wireframing']",senior
network engineer,"['Troubleshooting', 'Firewall', 'Backup & Recovery', 'VPN']",entry
wordpress developer,[],middle
ios developer,"['iOS', 'Objective-C', 'REST API', 'Agile', 'Swift', 'Scrum', 'Computer Vision', 'R', 'Cryptography']",senior
software engineer,"['C++', 'Objective-C']",unspecified
php developer,"['MySQL', 'Communication', 'Troubleshooting', 'JavaScript', 'HTML', 'CSS', 'PHP', 'SQL', 'Problem Solving', 'R']",senior
flutter developer,"['MySQL', 'Android', 'Flutter', 'Java', 'REST API']",entry
php developer,"['CodeIgniter', 'JavaScript', 'Bootstrap', 'Laravel', 'HTML', 'REST API', 'PHP', 'CSS', 'Git', 'R']",middle
ios developer,"['iOS', 'Unit Testing', 'Prototyping', 'Agile', 'Scrum', 'Git', 'Problem Solving']",senior
wordpress developer,"['JavaScript', 'SASS', 'SCSS', 'Git', 'Talend']",entry
django developer,"['React', 'JavaScript', 'Python', 'Django', 'HTML', 'CSS', 'REST API', 'SQL', 'Git', 'Problem Solving']",entry
django developer,"['React', 'Angular', 'REST API', 'JavaScript', 'Python', 'jQuery', 'Django', 'HTML', 'CSS']",entry
javascript developer,"['MySQL', 'JavaScript', 'PHP', 'CSS', 'SQL', 'Talend']",senior
javascript developer,"['Node.js', 'JavaScript', 'HTML', 'CSS', 'Git']",middle
software engineer,"['Data Analysis', 'Manual Testing', 'Teamwork', 'Regression', 'Agile', 'Problem Solving']",senior
java developer,"['Angular', 'Python', 'DevOps', 'React', 'Azure', 'Agile', 'Java', '.NET', 'Vue.js', 'SQL', 'Git', 'C#']",senior
ios developer,"['UI/UX Design', 'Objective-C', 'REST API', 'Storage Management', 'Swift', 'Excel', 'API', 'iOS', 'Git', 'Excel Macro']",senior
full stack developer,"['AWS', 'JavaScript', 'Python', 'Go', 'Flask', 'Linux', 'Active Directory', 'InVision']",senior
flutter developer,"['Angular', 'Android', 'Flutter', 'Cordova', 'Kotlin', 'jQuery', 'Swift', 'Ionic', 'Java', 'iOS', 'JavaScript']",senior
php developer,"['MySQL', 'JavaScript', 'jQuery', 'GitHub', 'HTML', 'PHP', 'CSS', 'SQL', 'AWS', 'SVN', 'R', 'Troubleshooting']",middle
backend developer,"['UI/UX Design', 'Troubleshooting']",entry
full stack developer,"['Bootstrap', 'Angular', 'REST API', 'Jenkins', 'Redis', 'Agile', 'Scrum', 'Ruby', 'AWS', 'Git', 'R', 'InVision']",senior
java developer,"['CI/CD', 'SDLC', 'Attention to Detail', 'JavaScript', 'Oracle DB', 'Snowflake', 'Teamwork', 'Jenkins', 'Spring', 'Hadoop', 'DevOps', 'Apache Spark', 'Kafka', 'Agile', 'Java', 'HTML', 'Hive', 'Apache NiFi', 'Jira', 'CSS', 'Git', 'Artificial Intelligence', 'R']",senior
wordpress developer,"['MySQL', 'JavaScript', 'jQuery', 'HTML', 'CSS', 'PHP', 'API', 'R', 'Troubleshooting']",senior
django developer,"['MySQL', 'Data Analysis', 'AWS', 'REST API', 'Python', 'Django', 'Flask', 'Agile', 'Git', 'SVN', 'PostgreSQL']",senior
devops engineer,"['PostgreSQL', 'CI/CD', 'Attention to Detail', 'PowerShell', 'AWS', 'Kubernetes', 'Prometheus', 'Terraform', 'ELK Stack', 'Bitbucket', 'Grafana', 'Jenkins', 'Python', 'Docker', 'DevOps', 'Redis', 'Linux', 'Bash', 'SRE', 'Elasticsearch', 'Troubleshooting', 'Talend']",senior
backend developer,"['MySQL', 'Bootstrap', 'MongoDB', 'Firebase', 'Python', 'Django', 'Flask', 'HTML', 'PHP', 'CSS', 'AWS']",senior
php developer,"['Node.js', 'MySQL', 'JavaScript', 'Bootstrap', 'Laravel', 'Python', 'jQuery', 'Apache', 'Agile', 'HTML', 'CSS', 'PHP', 'API', 'SQL']",entry
backend developer,"['MySQL', 'Ruby on Rails', 'JavaScript', 'REST API', 'Django', 'GitHub', 'HTML', 'React', 'Agile', 'Scrum', 'CSS', 'Git', 'SVN', 'DevOps']",middle
django developer,"['MySQL', 'Attention to Detail', 'JavaScript', 'Teamwork', 'REST API', 'MongoDB', 'Python', 'Django', 'Heroku', 'GitHub', 'HTML', 'Jira', 'AWS', 'R']",senior
full stack developer,"['Microservices', 'Automated Testing', 'JavaScript', 'Angular', 'Linux', '.NET', 'REST API', 'API', 'SQL', 'jQuery']",senior
database administrator,"['Communication', 'Excel', 'Reporting']",middle
php developer,"['React', 'Vue.js', 'Angular', 'JavaScript', 'Laravel', 'Python', 'jQuery', 'HTML', 'REST API', 'PHP', 'CSS', 'Git', 'SVN', 'R']",entry
wordpress developer,"['JavaScript', 'REST API', 'jQuery', 'HTML', 'CSS', 'PHP', 'Git', 'SVN', 'R', 'Wireframing']",unspecified
network engineer,"['Communication', 'Reporting', 'Palo Alto', 'Firewall', 'Fortinet', 'ITIL']",senior
network engineer,['Cisco'],senior
java developer,"['.NET', 'SQL Server', 'Microsoft Dynamics', 'Microsoft Office', 'Troubleshooting', 'JavaScript', 'Bootstrap', 'Reporting', 'Angular', 'jQuery', 'HTML', 'Agile', 'Java', 'SDLC', 'CSS', 'SQL', 'SVN', 'ERP', 'C#', 'R']",unspecified
flutter developer,"['Firebase', 'Flutter', 'Dart', 'Git', 'R']",senior
php developer,"['JavaScript', 'Laravel', 'Storage Management', 'HTML', 'CSS', 'PHP', 'SQL', 'Git', 'R', 'jQuery']",middle
django developer,"['Python', 'Django', 'API', 'Artificial Intelligence', 'InVision', 'REST API']",entry
node js developer,"['Express.js', 'MySQL', 'Node.js', 'MongoDB', 'PHP', 'Computer Vision']",senior
django developer,"['MySQL', 'JavaScript', 'Python', 'Django', 'HTML', 'CSS', 'Computer Vision', 'R']",unspecified
flutter developer,"['UI/UX Design', 'Problem Solving', 'JavaScript', 'Android', 'Flutter', 'React', 'Agile', 'Dart', 'REST API', 'iOS', 'Wireframing']",senior
wordpress developer,"['MySQL', 'UI/UX Design', 'Project Management', 'Troubleshooting', 'JavaScript', 'New Relic', 'REST API', 'jQuery', 'HTML', 'CSS', 'PHP', 'Git', 'SVN', 'R', 'Wireframing']",senior
database administrator,[],senior
network engineer,"['Technical Support', 'Help Desk']",senior
wordpress developer,"['JavaScript', 'REST API', 'jQuery', 'HTML', 'CSS', 'PHP', 'Git', 'SVN']",senior
software engineer,"['.NET', 'API', 'SQL', 'R']",senior
backend developer,"['Node.js', 'GCP', 'REST API', 'Go', 'Django', 'Azure', 'PHP', 'AWS', 'Git', 'R']",middle
java developer,"['PostgreSQL', 'MySQL', 'SQL Server', 'CI/CD', 'Microservices', 'UI/UX Design', 'Troubleshooting', 'Unit Testing', 'JavaScript', 'Cassandra', 'MongoDB', 'Ansible', 'Jenkins', 'Spring', 'Oracle DB', 'Hadoop', 'Docker', 'DevOps', 'Apache', 'JMeter', 'Excel', 'Kafka', 'Agile', 'Java', 'REST API', 'SOAP', 'AWS']",senior
devops engineer,"['PostgreSQL', 'MySQL', 'CI/CD', 'Virtualization', 'Kubernetes', 'Ansible', 'Jenkins', '.NET', 'DevOps', 'Apache', 'VMware', 'Azure', 'Linux', 'Nginx', 'PHP', 'AWS', 'Git', 'Firewall']",senior
java developer,"['MySQL', 'SQL Server', 'REST API', 'CI/CD', 'Attention to Detail', 'Unit Testing', 'JavaScript', 'Python', 'Oracle DB', 'DevOps', 'Agile', 'Scrum', 'Java', '.NET', 'Jira', 'PHP', 'SQL', 'Git', 'R', 'jQuery']",entry
java developer,"['PostgreSQL', 'REST API', 'SDLC', 'Problem Solving', 'Classification', 'Teamwork', 'Reporting', 'Java', '.NET', 'HTML', 'SQL', 'C#', 'Troubleshooting', 'jQuery']",senior
devops engineer,"['SQL Server', 'Data Quality', 'Troubleshooting', 'PowerShell', 'JavaScript', 'Angular', 'Python', 'DevOps', 'React', 'Azure', 'Agile', 'Java', 'SQL', 'AWS', 'C#', 'R', 'jQuery']",senior
php developer,"['MySQL', 'JavaScript', 'Bootstrap', 'jQuery', 'HTML', 'SASS', 'PHP', 'CSS']",middle
flutter developer,"['MySQL', 'JavaScript', 'Flutter', 'jQuery', 'HTML', 'PHP', 'SQL']",senior
devops engineer,"['PowerShell', 'Reporting', 'Python', 'Docker', 'DevOps', 'Azure', 'Agile', '.NET', 'C#', 'Artificial Intelligence', 'Computer Vision', 'Google Workspace']",senior
javascript developer,"['REST API', 'Microservices', 'Unit Testing', 'JavaScript', 'Postman', 'jQuery', 'JUnit', 'HTML', 'CSS', 'API', 'R']",middle
php developer,"['Troubleshooting', 'CodeIgniter', 'JavaScript', 'Laravel', 'Storage Management', 'Python', 'HTML', 'CSS', 'PHP', 'SQL', 'Git', 'SVN', 'Problem Solving', 'R', 'Talend']",entry
node js developer,"['Node.js', 'Teamwork', 'LESS']",entry
django developer,"['MySQL', 'SQL Server', 'REST API', 'Microservices', 'JavaScript', 'Bootstrap', 'Python', 'jQuery', 'Django', 'Flask', 'HTML', 'CSS']",unspecified
full stack developer,"['Node.js', 'Data Visualization', 'UI/UX Design', 'Communication', 'Project Management', 'Prototyping', 'JavaScript', 'Bootstrap', 'Bitbucket', 'REST API', 'MongoDB', 'jQuery', 'React', 'Agile', 'Jira', 'C++', 'PHP', 'SQL', 'Informatica', 'R', 'Virtualization', 'DevOps']",senior
wordpress developer,"['Troubleshooting', 'JavaScript', 'jQuery', 'HTML', 'CSS', 'Git', 'SVN']",middle
wordpress developer,"['MySQL', 'JavaScript', 'Wireframing', 'jQuery', 'HTML', 'CSS', 'API']",senior
php developer,"['JavaScript', 'HTML', 'PHP', 'CSS', 'Computer Vision', 'Troubleshooting']",unspecified
full stack developer,"['MySQL', 'SQL Server', 'Communication', 'Unit Testing', 'Oracle DB', '.NET', 'Business Intelligence']",senior
javascript developer,"['MySQL', 'Automated Testing', 'JavaScript', 'Python', 'Oracle DB', 'Linux', 'Agile', 'Scrum', 'Java', 'REST API', 'SQL', 'AWS', 'R', 'jQuery', 'OAuth']",senior
java developer,"['Angular', 'jQuery', 'Spring', 'JUnit', 'Java', 'REST API', 'SOAP', 'Unix', 'R']",senior
software engineer,"['Machine Learning', 'Unit Testing', 'Teamwork', 'JavaScript', 'FastAPI', 'REST API', 'MongoDB', 'Storage Management', 'Python', 'Django', 'GitHub', 'HTML', 'Flask', 'CSS', 'Git', 'R']",senior
flutter developer,"['Objective-C', 'REST API', 'Android', 'Flutter', 'Kotlin', 'Swift', 'Java', 'Dart', 'Git', 'R']",middle
java developer,"['REST API', 'Spring', 'Java']",middle
javascript developer,"['Node.js', 'PostgreSQL', 'MySQL', 'Microservices', 'Shell Scripting', 'JavaScript', 'Bootstrap', 'Angular', 'MongoDB', 'DevOps', 'Linux', 'HTML', 'Unix', 'Problem Solving']",middle
devops engineer,"['Storage Management', 'DevOps', 'InVision']",senior
ios developer,"['Machine Learning', 'Objective-C', 'Swift', 'API', 'Elasticsearch', 'InVision', 'R']",senior
wordpress developer,"['MySQL', 'CodeIgniter', 'JavaScript', 'HTML', 'PHP', 'CSS']",senior
full stack developer,"['Problem Solving', 'Dashboard', 'Express.js', 'MongoDB', 'React', 'AWS', 'C#', 'Talend', 'R', 'InVision']",entry
node js developer,"['Node.js', 'Angular', 'MySQL', 'React', 'jQuery', 'Java', 'HTML', 'PHP', 'CSS']",unspecified
php developer,"['JavaScript', 'jQuery', 'HTML', 'CSS', 'PHP', 'Problem Solving']",entry
backend developer,"['Node.js', 'React', 'Vue.js', 'MySQL', 'Unit Testing', 'JavaScript', 'Bootstrap', 'DynamoDB', 'Angular', 'Express.js', 'MongoDB', 'Storage Management', 'HTML', 'Redis', 'OAuth', 'Agile', 'CSS', 'REST API', 'API', 'Git', 'JWT', 'Problem Solving']",senior
full stack developer,"['Microservices', 'Talend']",senior
node js developer,"['Node.js', 'Express.js', 'PostgreSQL', 'MySQL', 'CI/CD', 'Project Management', 'Unit Testing', 'JavaScript', 'React', 'Angular', 'MongoDB', 'jQuery', 'Linux', 'Mocha', 'Agile', 'HTML', 'REST API', 'Jest', 'CSS', 'AWS', 'Git', 'SVN', 'SSL/TLS', 'R']",senior
node js developer,"['Node.js', 'Angular', 'Automated Testing', 'Problem Solving', 'JavaScript', 'Agile', 'HTML', 'CSS', 'Git']",entry
ios developer,"['Objective-C', 'Computer Vision', 'R']",entry
devops engineer,"['AWS', 'CI/CD', 'Microservices', 'Software Testing', 'Salesforce', 'Ansible', 'Jenkins', 'Python', 'Docker', 'DevOps', 'Kanban', 'Scrum', 'Java', 'LESS', 'Kubernetes', 'DNS', 'SAP', 'SSO', 'R']",senior
php developer,"['CodeIgniter', 'JavaScript', 'Laravel', 'HTML', 'PHP', 'CSS', 'Vue.js']",entry
ios developer,"['Problem Solving', 'Objective-C', 'Swift', 'iOS', 'Rust']",senior
ios developer,"['Automated Testing', 'Problem Solving', 'UI/UX Design', 'REST API', 'GitHub', 'Swift', 'iOS', 'Git', 'R']",middle
ios developer,"['Manual Testing', 'Storage Management', 'SQLite', 'Swift', 'iOS', 'Active Directory', 'Objective-C', 'Unit Testing']",senior
ios developer,"['Problem Solving', 'Objective-C', 'Web Service', 'Firebase', 'SQLite', 'Swift', 'REST API', 'API', 'iOS', 'Git', 'R']",senior
ios developer,"['Communication', 'Swift', 'API', 'iOS', 'Objective-C', 'R']",middle
software engineer,"['Deep Learning', 'Machine Learning', 'Computer Vision', 'Python', 'Java', 'C++', 'AWS']",middle
software engineer,"['REST API', 'CI/CD', 'Microservices', 'Bug Tracking', 'Teamwork', 'Test Case', 'Test Plan', 'Ansible', 'Jenkins', 'Docker', 'DevOps', 'Linux', 'Scrum', 'Unix', 'Talend', 'Backup & Recovery', 'Troubleshooting', 'Agile']",senior
java developer,"['JavaScript', 'jQuery', 'Spring', 'Java', 'HTML', 'SDLC', 'CSS', 'SAP', 'R', 'Web Service', 'InVision']",senior
java developer,"['.NET', 'SQL Server', 'UI/UX Design', 'SDLC', 'Jenkins', 'Linux', 'Agile', 'SQL', 'Git', 'SVN', 'C#', 'R', 'Problem Solving', 'Web Service', 'InVision']",senior
javascript developer,"['JavaScript', 'C++', 'R', 'Objective-C']",senior
php developer,"['Angular', 'MySQL', 'Laravel', 'PHP', 'Git', 'jQuery', 'R']",senior
software engineer,"['Java', '.NET']",unspecified
software engineer,"['JavaScript', 'Python', 'Spring', 'SQLite', 'Linux', 'Agile', 'Scrum', 'Java', 'REST API', 'C++', 'C#', 'R', 'Objective-C', 'Talend', 'DevOps']",entry
java developer,"['React', 'Spring Boot', 'Artificial Intelligence', 'Angular', 'MongoDB', 'Spring', 'Agile', 'Java', 'Rust', 'Talend', 'Objective-C']",senior
devops engineer,"['CI/CD', 'Kubernetes', 'Terraform', 'Ansible', 'Jenkins', 'Python', 'Docker', 'GitHub', 'Linux', 'Ruby', 'AWS']",senior
database administrator,"['SQL Server', 'Disaster Recovery', 'Active Directory', 'Troubleshooting', 'Clustering', 'Backup & Recovery', 'SQL', 'Statistics', 'InVision']",senior
backend developer,"['CI/CD', 'Microservices', 'UI/UX Design', 'REST API', 'Go', 'GitHub', 'GitLab', 'Azure', 'Agile', 'SQL']",senior
wordpress developer,"['JavaScript', 'REST API', 'HTML', 'CSS', 'PHP', 'Wireframing']",senior
backend developer,"['Bootstrap', 'Angular', 'HTML', 'CSS', 'API', 'Git', 'R']",entry
full stack developer,"['Node.js', 'UI/UX Design', 'JavaScript', 'Angular', 'REST API', 'jQuery', 'React', 'HTML', 'Git', 'R', 'Talend']",senior
javascript developer,"['Node.js', 'JavaScript']",entry
node js developer,"['Node.js', 'Angular', 'Express.js', 'MySQL', 'Problem Solving', 'JavaScript', 'Cassandra', 'MongoDB', 'HTML', 'CSS']",middle
php developer,"['MySQL', 'REST API', 'Attention to Detail', 'JavaScript', 'Bitbucket', 'jQuery', 'HTML', 'PHP', 'CSS', 'SQL', 'Git', 'Problem Solving', 'Laravel']",senior
django developer,"['JavaScript', 'Python', 'Django', 'HTML', 'CSS', 'REST API']",middle
flutter developer,"['Android', 'Flutter', 'REST API', 'iOS', 'Git', 'Wireframing']",entry
wordpress developer,"['MySQL', 'JavaScript', 'jQuery', 'HTML', 'CSS']",middle
devops engineer,"['CI/CD', 'Shell Scripting', 'Terraform', 'Ansible', 'DevOps', 'GitHub', 'SQL', 'AWS', 'R']",senior
database administrator,"['Microsoft Office', 'Teamwork', 'Reporting', 'Google Workspace', 'Express.js', 'jQuery']",senior
software engineer,"['Microservices', 'Integration Testing', 'Troubleshooting', 'Elasticsearch', 'Kafka', 'Prototyping', 'Cassandra', 'Python', 'Scala', 'Java', 'REST API', 'MPLS', 'Problem Solving']",middle
backend developer,"['Attention to Detail', 'JavaScript', 'HTML', 'CSS', 'Talend']",unspecified
javascript developer,"['Node.js', 'SDLC', 'React Native', 'JavaScript', 'Angular', 'Flutter', 'MongoDB', 'React', 'Vue.js', 'AWS', 'GCP', 'Problem Solving']",senior
php developer,"['Help Desk', 'Laravel', 'Symfony', 'PHP', 'ERP', 'CRM']",senior
full stack developer,"['MySQL', 'REST API', 'KPI', 'Automated Testing', 'Technical Support', 'Troubleshooting', 'JavaScript', 'Regression', 'Symfony', 'jQuery', 'Agile', 'Scrum', 'HTML', 'PHP', 'API', 'Git', 'R', 'InVision']",senior
ios developer,"['REST API', 'Unit Testing', 'Swift', 'API', 'iOS']",senior
network engineer,['Cisco'],senior
wordpress developer,"['Communication', 'Troubleshooting', 'jQuery', 'HTML', 'PHP', 'CSS', 'JavaScript']",senior
javascript developer,"['React', 'Angular', 'UI/UX Design', 'Problem Solving', 'JavaScript', 'TypeScript', 'Bootstrap', 'REST API', 'jQuery', 'HTML', 'Ionic', 'Agile', 'CSS']",senior
java developer,"['Troubleshooting', 'JavaScript', 'Salesforce', 'jQuery', 'Heroku', 'Kanban', 'Agile', 'Scrum', 'Java', 'Talend', 'InVision']",senior
full stack developer,"['Node.js', 'Angular', 'MySQL', 'REST API', 'UI/UX Design', 'Unit Testing', 'Load Testing', 'Web Service', 'JavaScript', 'TypeScript', 'Bootstrap', 'Cassandra', 'Express.js', 'MongoDB', 'jQuery', 'DevOps', 'HTML', 'Redis', 'API', 'Git', 'R', 'Microservices']",unspecified
django developer,"['JavaScript', 'Python', 'jQuery', 'Django', 'HTML', 'CSS', 'Git', 'SVN', 'R']",senior
django developer,"['Angular', 'PostgreSQL', 'MySQL', 'JavaScript', 'Python', 'Django', 'HTML', 'CSS', 'R']",senior
ios developer,"['iOS', 'Git', 'Objective-C']",middle
software engineer,"['Unit Testing', 'Regression', 'Android', 'Kotlin', 'Java', 'R']",senior
wordpress developer,['Agile'],entry
java developer,"['Spring', 'Agile', 'Java', 'REST API', 'AWS', 'Troubleshooting']",senior
backend developer,"['PostgreSQL', 'MySQL', 'Bootstrap', 'Python', 'Django', 'Redis', 'HTML', 'SASS', 'LESS', 'REST API', 'CSS']",senior
django developer,"['MySQL', 'Machine Learning', 'Scikit-learn', 'JavaScript', 'Matplotlib', 'TensorFlow', 'PyTorch', 'Python', 'jQuery', 'Django', 'Pandas', 'HTML', 'Keras', 'NumPy', 'SciPy', 'CSS', 'REST API', 'AWS', 'Artificial Intelligence']",senior
database administrator,"['PostgreSQL', 'SQL Server', 'Communication', 'Shell Scripting', 'Classification', 'Reporting', 'Oracle DB', 'Backup & Recovery', 'Unix', 'SQL', 'AWS']",senior
network engineer,"['Project Management', 'Computer Vision']",senior
backend developer,"['MySQL', 'Spring Boot', 'SDLC', 'Problem Solving', 'Elasticsearch', 'Unit Testing', 'REST API', 'MongoDB', 'Spring', 'Kafka', 'Java', 'LESS', 'AWS', 'R']",senior
software engineer,"['Test Case', 'Python', 'OSPF', 'MPLS', 'BGP']",senior
network engineer,"['TCP/IP', 'Troubleshooting', 'Firewall', 'Fortinet', 'OSPF', 'MPLS', 'VPN', 'BGP']",senior
flutter developer,"['CI/CD', 'Firestore', 'Firebase', 'Android', 'Flutter', 'REST API', 'iOS', 'SQL', 'Git', 'jQuery', 'Wireframing']",senior
full stack developer,"['SQL Server', 'ETL', 'UI/UX Design', 'Integration Testing', 'Troubleshooting', 'Angular', 'React', 'Agile', 'Scrum', '.NET', 'API', 'Virtualization']",senior
software engineer,"['Automated Testing', 'Manual Testing', 'Selenium', '.NET', 'API', 'C#', 'InVision']",senior
flutter developer,"['UI/UX Design', 'Firebase', 'Android', 'Flutter', 'iOS']",middle
software engineer,"['Unit Testing', 'Android', 'Linux', 'C++', 'iOS']",middle
software engineer,"['Integration Testing', 'Manual Testing', 'Bug Tracking', 'R']",unspecified
django developer,"['Problem Solving', 'Express.js', 'Python', 'Django', 'React', 'Agile', 'HTML', 'CSS', 'AWS', 'Computer Vision']",entry
javascript developer,"['Node.js', 'JavaScript', 'TypeScript', 'Angular', 'Webpack', 'Postman', 'jQuery', 'React', 'OWASP', 'HTML', 'CSS', 'SASS', 'LESS', 'REST API', 'Jest', 'Vue.js']",senior
database administrator,['Excel'],senior
software engineer,"['Microservices', 'Project Management', 'Problem Solving', 'Cybersecurity', 'Swift', 'Agile', 'Scrum', 'R', 'InVision']",senior
ios developer,"['Objective-C', 'Swift', 'REST API', 'SOAP', 'iOS', 'Git', 'SVN', 'R', 'SQLite']",senior
backend developer,"['.NET', 'UI/UX Design', 'CodeIgniter', 'JavaScript', 'Bootstrap', 'Python', 'HTML', 'PHP', 'CSS', 'Problem Solving', 'R']",senior
network engineer,[],senior
javascript developer,"['React', 'UI/UX Design', 'JavaScript', 'TypeScript', 'HTML', 'CSS', 'REST API']",senior
full stack developer,"['Angular', 'PostgreSQL', 'Troubleshooting', 'Elasticsearch', 'JavaScript', 'Dashboard', 'Express.js', 'MongoDB', 'Agile', 'Redis', 'Java', 'HTML', 'SQL', 'jQuery']",senior
software engineer,"['Shell Scripting', 'Selenium', 'Python', 'JMeter', 'Linux', 'Java', 'REST API', 'SOAP', 'SQL']",senior
software engineer,['SAP'],senior
devops engineer,"['Machine Learning', 'Data Science', 'CI/CD', 'Kubernetes', 'Terraform', 'Jenkins', 'Python', 'DevOps', 'AWS']",middle
django developer,"['JavaScript', 'Python', 'Django', 'HTML', 'Flask', 'Problem Solving']",senior
java developer,"['Data Analysis', 'ETL', 'UI/UX Design', 'Attention to Detail', 'Problem Solving', 'Troubleshooting', 'JavaScript', 'Statistics', 'Dashboard', 'Reporting', 'ELK Stack', 'Python', 'Hadoop', 'Scala', 'Excel', 'Java', 'SQL', 'TypeScript', 'R', 'InVision']",senior
javascript developer,"['Angular', 'REST API', 'JavaScript', 'HTML', 'CSS', 'API', 'Reporting']",senior
